iter	RMSE
0	18.3006156
1	17.72495972
2	17.18774883
3	16.68404293
4	16.21283313
5	15.76891241
6	15.35332792
7	14.9637138
8	14.60005789
9	14.26373504
10	13.94765476
11	13.64004336
12	13.35161011
13	13.08271769
14	12.83452576
15	12.60167361
16	12.35860038
17	12.13285098
18	11.92581248
19	11.72884337
20	11.54159069
21	11.36849353
22	11.20714671
23	11.05740032
24	10.91492084
25	10.78377173
26	10.66311669
27	10.55000586
28	10.44110808
29	10.34081569
30	10.24761388
31	10.15961954
32	10.07762895
33	10.00283101
34	9.930992867
35	9.862890116
36	9.800444193
37	9.74204357
38	9.688389963
39	9.637620255
40	9.589117755
41	9.545317941
42	9.503449597
43	9.465047379
44	9.428608454
45	9.395679125
46	9.363969007
47	9.334614367
48	9.306649963
49	9.281173727
50	9.257054673
51	9.234304596
52	9.213262319
53	9.193703089
54	9.175084288
55	9.157414283
56	9.141452111
57	9.125571552
58	9.111222875
59	9.096905747
60	9.083911827
61	9.07156875
62	9.060191656
63	9.049488598
64	9.039226657
65	9.029543123
66	9.020410536
67	9.011660589
68	9.003601343
69	8.996384938
70	8.988915225
71	8.982308476
72	8.975949603
73	8.970032248
74	8.964179107
75	8.958872381
76	8.953584372
77	8.948683233
78	8.944253324
79	8.940024014
80	8.936050592
81	8.931375616
82	8.927857258
83	8.92352382
84	8.919289014
85	8.91518283
86	8.912448524
87	8.90891834
88	8.90605039
89	8.902777641
90	8.900378764
91	8.898204129
92	8.895592557
93	8.892935883
94	8.8910147
95	8.889183776
96	8.887404597
97	8.885349155
98	8.883451545
99	8.88194446
100	8.880058652
101	8.878251977
102	8.876543206
103	8.875289867
104	8.873986411
105	8.872942561
106	8.871870423
107	8.870471887
108	8.869561313
109	8.868336164
110	8.867503464
111	8.866688346
112	8.865646225
113	8.86482666
114	8.863886821
115	8.863248608
116	8.862608268
117	8.86172941
118	8.860922158
119	8.859983101
120	8.859143392
121	8.85845386
122	8.85775846
123	8.857220091
124	8.856668683
125	8.856066316
126	8.855608561
127	8.855101542
128	8.854643135
129	8.854100564
130	8.853568025
131	8.853065339
132	8.852597133
133	8.852220247
134	8.851785999
135	8.851361734
136	8.851010903
137	8.850569309
138	8.85014557
139	8.849725206
140	8.849418032
141	8.848974362
142	8.848543338
143	8.848211869
144	8.847762843
145	8.847274714
146	8.846915593
147	8.846598889
148	8.846288455
149	8.846068214
150	8.845764141
151	8.845563735
152	8.845343953
153	8.845143842
154	8.844893255
155	8.844707045
156	8.844314138
157	8.844149792
158	8.843925465
159	8.843738749
160	8.843564352
161	8.843447027
162	8.843115578
163	8.842819023
164	8.842584035
165	8.842394561
166	8.842223965
167	8.841928231
168	8.84174072
169	8.841511025
170	8.841366577
171	8.841211457
172	8.841026637
173	8.840761662
174	8.840630017
175	8.840536881
176	8.840364812
177	8.840129498
178	8.839836596
179	8.83963081
180	8.839547211
181	8.839393633
182	8.839178797
183	8.839002811
184	8.838805069
185	8.838569684
186	8.83844357
187	8.838341934
188	8.838150784
189	8.837907605
190	8.837646235
191	8.837552348
192	8.837391126
193	8.83720899
194	8.837016154
195	8.836900715
196	8.836552615
197	8.836349933
198	8.836162197
199	8.836075112
200	8.835983123
201	8.835787844
202	8.835527416
203	8.835440168
204	8.835180372
205	8.835053045
206	8.83493211
207	8.83489731
208	8.834688572
209	8.834494518
210	8.83432134
211	8.834202475
212	8.834092924
213	8.833682738
214	8.833527776
215	8.833309718
216	8.833205394
217	8.833133988
218	8.832894484
219	8.832728055
220	8.832605239
221	8.832576959
222	8.832485639
223	8.83235621
224	8.83221067
225	8.832176538
226	8.832108403
227	8.831948418
228	8.831795835
229	8.831733984
230	8.831556683
231	8.831472543
232	8.831294927
233	8.831173136
234	8.831097592
235	8.831023506
236	8.830986518
237	8.830851389
238	8.830619951
239	8.830564488
240	8.830449307
241	8.830229386
242	8.829992204
243	8.829954053
244	8.829930325
245	8.829812205
246	8.829585928
247	8.829374217
248	8.829246949
249	8.828994586
250	8.82893139
251	8.828913325
252	8.828688259
253	8.828501599
254	8.828333752
255	8.828310307
256	8.828070157
257	8.828028224
258	8.827823327
259	8.827663873
260	8.827464187
261	8.827412003
262	8.827251763
263	8.827131932
264	8.826918696
265	8.826736454
266	8.826692491
267	8.826464653
268	8.826316509
269	8.82619118
270	8.825983943
271	8.825906205
272	8.825863548
273	8.825622062
274	8.825395906
275	8.825239601
276	8.824956844
277	8.824810231
278	8.824701982
279	8.824551594
280	8.824411137
281	8.824291466
282	8.824095189
283	8.824008963
284	8.823868821
285	8.823712994
286	8.823579672
287	8.823382241
288	8.823211804
289	8.823049722
290	8.822922073
291	8.822883375
292	8.82283505
293	8.822609634
294	8.822448179
295	8.822293695
296	8.822051292
297	8.821857695
298	8.821593398
299	8.821449315
300	8.821235404
301	8.821061666
302	8.820858351
303	8.820671117
304	8.820478386
305	8.820463116
306	8.820163142
307	8.820092154
308	8.819867638
309	8.819820059
310	8.819553197
311	8.819532338
312	8.819347497
313	8.819236439
314	8.81908801
315	8.818861332
316	8.81868033
317	8.818572379
318	8.818390828
319	8.818209408
320	8.818075271
321	8.817878194
322	8.817800071
323	8.817735515
324	8.817565479
325	8.817415346
326	8.817334883
327	8.817329488
328	8.817162575
329	8.816982937
330	8.816840822
331	8.816597797
332	8.816533647
333	8.816357531
334	8.816281195
335	8.816120386
336	8.815968549
337	8.815841952
338	8.815751151
339	8.815490273
340	8.815304603
341	8.81513142
342	8.815028245
343	8.81491457
344	8.814898944
345	8.814663339
346	8.814559947
347	8.814548282
348	8.814491177
349	8.814304655
350	8.814137466
351	8.813984125
352	8.813851816
353	8.813700606
354	8.81350579
355	8.813498109
356	8.813319881
357	8.813221188
358	8.813172192
359	8.813155579
360	8.813085933
361	8.812913197
362	8.812761555
363	8.812668699
364	8.812533601
365	8.81238897
366	8.812266769
367	8.812083786
368	8.81201224
369	8.811942028
370	8.811846918
371	8.811733443
372	8.811570237
373	8.811386483
374	8.811295764
375	8.811129399
376	8.81103569
377	8.810886433
378	8.810691177
379	8.810557413
380	8.810402451
381	8.81037323
382	8.810126618
383	8.809981598
384	8.809858335
385	8.809851009
386	8.809767434
387	8.809705135
388	8.809661993
389	8.809621889
390	8.809533526
391	8.80939796
392	8.809231551
393	8.809127055
394	8.809117686
395	8.809030676
396	8.808971017
397	8.808853115
398	8.808732611
399	8.808641942
400	8.808476382
401	8.808390626
402	8.808380987
403	8.808271943
404	8.808147501
405	8.808028397
406	8.80801528
407	8.807894283
408	8.807882327
409	8.807792542
410	8.807640117
411	8.807531658
412	8.807336146
413	8.807294123
414	8.807277928
415	8.807244395
416	8.807139599
417	8.807062685
418	8.806884074
419	8.80667256
420	8.806525276
421	8.806402789
422	8.80637626
423	8.806322328
424	8.80612848
425	8.806002622
426	8.8058723
427	8.805766427
428	8.805614075
