iter	Passed	Remaining
0	402	603997
1	683	512006
2	921	459941
3	1249	467302
4	1494	446890
5	1757	437527
6	2030	433022
7	2305	429910
8	2581	427723
9	2854	425337
10	3096	419132
11	3397	421304
12	3655	418131
13	3893	413264
14	4103	406197
15	4353	403833
16	4611	402325
17	4843	398766
18	5088	396645
19	5361	396717
20	5604	394684
21	5818	390927
22	6050	388552
23	6308	387955
24	6548	386359
25	6809	386036
26	7040	384102
27	7283	382886
28	7496	380259
29	7731	378863
30	8005	379368
31	8239	377983
32	8482	377092
33	8699	375083
34	8970	375466
35	9242	375879
36	9500	375645
37	9767	375788
38	10012	375099
39	10282	375297
40	10596	377088
41	10851	376712
42	11128	377064
43	11375	376440
44	11600	375087
45	11837	374179
46	12094	373886
47	12375	374351
48	12592	372883
49	12808	371448
50	13054	370892
51	13330	371189
52	13574	370615
53	13866	371305
54	14124	371082
55	14381	370847
56	14646	370796
57	14901	370494
58	15117	369230
59	15369	368876
60	15636	368868
61	15871	368106
62	16131	367941
63	16425	368541
64	16690	368473
65	16949	368256
66	17239	368729
67	17462	367745
68	17723	367569
69	17934	366368
70	18203	366386
71	18476	366452
72	18707	365694
73	18938	364953
74	19191	364638
75	19461	364649
76	19732	364670
77	19989	364430
78	20227	363846
79	20478	363500
80	20735	363258
81	20980	362802
82	21245	362706
83	21529	362920
84	21803	362963
85	22076	362985
86	22374	363392
87	22651	363454
88	22873	362640
89	23188	363287
90	23479	363538
91	23750	363481
92	23993	362991
93	24258	362839
94	24464	361821
95	24704	361310
96	24975	361244
97	25223	360850
98	25448	360134
99	25679	359512
100	25959	359572
101	26207	359202
102	26447	358707
103	26758	359186
104	27067	359614
105	27314	359208
106	27558	358775
107	27785	358121
108	28060	358090
109	28322	357899
110	28570	357515
111	28806	356991
112	29081	356954
113	29352	356869
114	29606	356560
115	29877	356471
116	30183	356788
117	30481	356994
118	30788	357306
119	31105	357711
120	31353	357331
121	31646	357445
122	31812	356148
123	32107	356291
124	32380	356188
125	32710	356703
126	33048	357286
127	33338	357343
128	33624	357355
129	33924	357509
130	34125	356623
131	34395	356467
132	34604	355675
133	34843	355197
134	35118	355089
135	35401	355055
136	35677	354947
137	35927	354585
138	36153	353989
139	36395	353560
140	36645	353196
141	36931	353185
142	37218	353187
143	37467	352818
144	37748	352751
145	38032	352713
146	38323	352730
147	38629	352890
148	38876	352499
149	39109	351982
150	39364	351669
151	39614	351314
152	39895	351237
153	40143	350862
154	40395	350528
155	40640	350130
156	40904	349899
157	41211	350037
158	41466	349730
159	41792	350015
160	42049	349714
161	42264	349073
162	42540	348933
163	42819	348823
164	43123	348909
165	43408	348833
166	43670	348576
167	43915	348185
168	44191	348038
169	44478	347976
170	44760	347876
171	45019	347591
172	45328	347693
173	45600	347508
174	45808	346838
175	46026	346245
176	46280	345923
177	46537	345631
178	46799	345378
179	47118	345536
180	47388	345330
181	47576	344541
182	47836	344269
183	48081	343884
184	48373	343841
185	48646	343662
186	48909	343413
187	49165	343114
188	49407	342717
189	49661	342401
190	49947	342307
191	50172	341799
192	50365	341076
193	50563	340389
194	50817	340087
195	51059	339704
196	51326	339483
197	51577	339162
198	51907	339355
199	52123	338805
200	52362	338402
201	52660	338383
202	52922	338132
203	53170	337786
204	53454	337675
205	53684	337220
206	53940	336930
207	54083	335942
208	54384	335933
209	54690	335955
210	54919	335502
211	55206	335407
212	55410	334803
213	55728	334890
214	56021	334823
215	56270	334497
216	56484	333963
217	56751	333737
218	57067	333805
219	57296	333363
220	57539	332998
221	57751	332463
222	58034	332330
223	58245	331790
224	58476	331366
225	58654	330643
226	58908	330353
227	59173	330128
228	59453	329982
229	59700	329651
230	59940	329285
231	60192	328982
232	60478	328866
233	60705	328432
234	60988	328302
235	61167	327610
236	61412	327275
237	61663	326972
238	61943	326821
239	62189	326496
240	62455	326273
241	62741	326150
242	62992	325848
243	63257	325620
244	63510	325329
245	63775	325101
246	64114	325245
247	64439	325317
248	64726	325191
249	65044	325221
250	65258	324734
251	65507	324419
252	65791	324276
253	66055	324036
254	66368	324035
255	66589	323583
256	66851	323331
257	66988	322480
258	67244	322204
259	67507	321960
260	67729	321522
261	67928	320976
262	68168	320623
263	68380	320143
264	68683	320093
265	68925	319749
266	69116	319180
267	69373	318910
268	69617	318585
269	69873	318311
270	70132	318054
271	70353	317626
272	70529	316993
273	70815	316862
274	71113	316779
275	71378	316548
276	71649	316344
277	71872	315928
278	72107	315568
279	72389	315410
280	72663	315219
281	72929	314991
282	73193	314758
283	73488	314656
284	73833	314763
285	74118	314615
286	74393	314421
287	74707	314393
288	74963	314121
289	75290	314144
290	75604	314108
291	75808	313620
292	76107	313519
293	76414	313454
294	76672	313187
295	76896	312781
296	77182	312628
297	77417	312269
298	77728	312213
299	77997	311989
300	78282	311830
301	78558	311631
302	78865	311557
303	79226	311695
304	79564	311736
305	79838	311525
306	80093	311243
307	80302	310782
308	80607	310690
309	80856	310385
310	81162	310297
311	81393	309923
312	81675	309741
313	81996	309707
314	82298	309600
315	82635	309620
316	82902	309378
317	83124	308974
318	83392	308734
