feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,near_zero
property_particle_coarse,-0.6514,0.0,-0.6122,0.0,0.6514,False
property_particle_fine,0.6386,0.0,0.5681,0.0,0.6386,False
cation_exchange_capacity,0.4469,0.0,0.3979,0.0,0.4469,False
cation_Ca,0.3677,0.0,0.3248,0.0,0.3677,False
spectral_band_A_PC_1,-0.3367,0.0,-0.2838,0.0,0.3367,False
spectral_band_A_PC_2,-0.3338,0.0,-0.0821,0.0,0.3338,False
cation_Mg,0.3202,0.0,0.2445,0.0,0.3202,False
spectral_band_A_PC_5,-0.243,0.0,-0.027,0.004212,0.243,False
spectral_band_A_PC_7,-0.211,0.0,-0.0158,0.093561,0.211,False
spectral_band_A_PC_12,0.2041,0.0,-0.009,0.338093,0.2041,False
spectral_band_A_PC_3,-0.183,0.0,-0.0599,0.0,0.183,False
flag_has_cation,-0.152,0.0,-0.1604,0.0,0.152,False
spectral_band_B_PC_10,-0.1502,0.0,-0.127,0.0,0.1502,False
spectral_band_B_PC_2,-0.1355,0.0,-0.1602,0.0,0.1355,False
spectral_band_B_PC_13,-0.1316,0.0,-0.155,0.0,0.1316,False
spectral_band_B_PC_1,-0.1308,0.0,-0.0898,0.0,0.1308,False
spectral_band_A_PC_8,-0.1166,0.0,-0.0225,0.017137,0.1166,False
spectral_band_B_PC_15,-0.1029,0.0,-0.078,0.0,0.1029,False
latitude,0.1004,0.0,-0.0086,0.364296,0.1004,False
spectral_band_B_PC_14,-0.1002,0.0,-0.1299,0.0,0.1002,False
longitude,-0.0977,0.0,-0.0032,0.732866,0.0977,False
spectral_band_A_PC_4,0.0898,0.0,0.0036,0.69984,0.0898,False
spectral_band_B_PC_7,-0.0851,0.0,-0.1144,0.0,0.0851,False
spectral_band_A_PC_10,0.0822,0.0,0.0127,0.18038,0.0822,False
spectral_band_A_PC_13,-0.0784,0.0,0.0008,0.929067,0.0784,False
spectral_band_B_PC_11,-0.0728,0.0,-0.0734,0.0,0.0728,False
spectral_band_A_PC_11,-0.0721,0.0,-0.0046,0.626463,0.0721,False
spectral_band_B_PC_5,-0.0566,0.0,-0.1379,0.0,0.0566,False
flag_has_pH,0.0449,2e-06,0.0179,0.058323,0.0449,True
spectral_band_B_PC_4,0.0391,3.5e-05,-0.0227,0.016325,0.0391,True
spectral_band_A_PC_9,-0.0389,3.8e-05,0.0051,0.590702,0.0389,True
spectral_band_B_PC_12,-0.0368,9.9e-05,-0.069,0.0,0.0368,True
spectral_band_B_PC_3,-0.0364,0.000118,-0.0616,0.0,0.0364,True
property_acidity_index,0.028,0.003071,0.0249,0.008435,0.028,True
flag_has_band_B,0.0268,0.004475,0.0321,0.000672,0.0268,True
spectral_band_A_PC_6,-0.022,0.019852,0.003,0.751704,0.022,True
flag_has_particle,-0.0207,0.028235,-0.0112,0.236806,0.0207,True
spectral_band_A_PC_15,0.0198,0.036284,0.0067,0.475481,0.0198,True
spectral_band_B_PC_9,-0.0171,0.070721,-0.0925,0.0,0.0171,True
flag_has_Na,-0.0168,0.076062,-0.0269,0.004441,0.0168,True
flag_has_geo,0.0144,0.127771,0.0121,0.199904,0.0144,True
spectral_band_B_PC_6,-0.0109,0.251113,-0.037,9.4e-05,0.0109,True
spectral_band_A_PC_14,0.0108,0.252305,0.0012,0.897444,0.0108,True
spectral_band_B_PC_8,-0.0107,0.258136,-0.0708,0.0,0.0107,True
cation_Na,0.0068,0.468996,-0.0321,0.000679,0.0068,True
