Tanggal,Harga_Prediksi,Komoditas
2026-06-01,35652,Daging Ayam
2026-06-02,35454,Daging Ayam
2026-06-03,35307,Daging Ayam
2026-06-04,35265,Daging Ayam
2026-06-05,35230,Daging Ayam
2026-06-08,35124,Daging Ayam
2026-06-09,35143,Daging Ayam
2026-06-10,35098,Daging Ayam
2026-06-11,35040,Daging Ayam
2026-06-12,35018,Daging Ayam
2026-06-15,35010,Daging Ayam
2026-06-16,35068,Daging Ayam
2026-06-17,34981,Daging Ayam
2026-06-18,34982,Daging Ayam
2026-06-19,34942,Daging Ayam
2026-06-22,34841,Daging Ayam
2026-06-23,34687,Daging Ayam
2026-06-24,34639,Daging Ayam
2026-06-25,34494,Daging Ayam
2026-06-26,34372,Daging Ayam
2026-06-29,34148,Daging Ayam
2026-06-30,33827,Daging Ayam
2026-07-01,33661,Daging Ayam
2026-07-02,33719,Daging Ayam
2026-07-03,33751,Daging Ayam
2026-07-06,33756,Daging Ayam
2026-07-07,33795,Daging Ayam
2026-07-08,33759,Daging Ayam
2026-07-09,33759,Daging Ayam
2026-07-10,33778,Daging Ayam
2026-07-13,33565,Daging Ayam
2026-07-14,33638,Daging Ayam
2026-07-15,33703,Daging Ayam
2026-07-16,33840,Daging Ayam
2026-07-17,33875,Daging Ayam
2026-07-20,33900,Daging Ayam
2026-07-21,33949,Daging Ayam
2026-07-22,33943,Daging Ayam
2026-07-23,33941,Daging Ayam
2026-07-24,33950,Daging Ayam
2026-07-27,33795,Daging Ayam
2026-07-28,33710,Daging Ayam
2026-07-29,33752,Daging Ayam
2026-07-30,33790,Daging Ayam
2026-07-31,33675,Daging Ayam
2026-08-03,33631,Daging Ayam
2026-08-04,33646,Daging Ayam
2026-08-05,33670,Daging Ayam
2026-08-06,33793,Daging Ayam
2026-08-07,33816,Daging Ayam
2026-08-10,33898,Daging Ayam
2026-08-11,33968,Daging Ayam
2026-08-12,33907,Daging Ayam
2026-08-13,33881,Daging Ayam
2026-08-14,33977,Daging Ayam
2026-08-17,33943,Daging Ayam
2026-08-18,33973,Daging Ayam
2026-08-19,33919,Daging Ayam
2026-08-20,33901,Daging Ayam
2026-08-21,33873,Daging Ayam
2026-08-24,33870,Daging Ayam
2026-08-25,33929,Daging Ayam
2026-08-26,33853,Daging Ayam
2026-08-27,33910,Daging Ayam
2026-08-28,33817,Daging Ayam
2026-08-31,33643,Daging Ayam
2026-09-01,33739,Daging Ayam
2026-09-02,33794,Daging Ayam
2026-09-03,33857,Daging Ayam
2026-09-04,34013,Daging Ayam
2026-09-07,33874,Daging Ayam
2026-09-08,33912,Daging Ayam
2026-09-09,33884,Daging Ayam
2026-09-10,33967,Daging Ayam
2026-09-11,33967,Daging Ayam
2026-09-14,33982,Daging Ayam
2026-09-15,33966,Daging Ayam
2026-09-16,33924,Daging Ayam
2026-09-17,33875,Daging Ayam
2026-09-18,33858,Daging Ayam
2026-09-21,33846,Daging Ayam
2026-09-22,33762,Daging Ayam
2026-09-23,33827,Daging Ayam
2026-09-24,33787,Daging Ayam
2026-09-25,33795,Daging Ayam
2026-09-28,33773,Daging Ayam
2026-09-29,33765,Daging Ayam
2026-09-30,33619,Daging Ayam
2026-10-01,33713,Daging Ayam
2026-10-02,33819,Daging Ayam
2026-10-05,33850,Daging Ayam
2026-10-06,33972,Daging Ayam
2026-10-07,34059,Daging Ayam
2026-10-08,34024,Daging Ayam
2026-10-09,33998,Daging Ayam
2026-10-12,33954,Daging Ayam
2026-10-13,34011,Daging Ayam
2026-10-14,33975,Daging Ayam
2026-10-15,33941,Daging Ayam
2026-10-16,33980,Daging Ayam
2026-10-19,33821,Daging Ayam
2026-10-20,33771,Daging Ayam
2026-10-21,33853,Daging Ayam
2026-10-22,34034,Daging Ayam
2026-10-23,34054,Daging Ayam
2026-10-26,34023,Daging Ayam
2026-10-27,33974,Daging Ayam
2026-10-28,33969,Daging Ayam
2026-10-29,33982,Daging Ayam
2026-10-30,34012,Daging Ayam
2026-11-02,33807,Daging Ayam
2026-11-03,33852,Daging Ayam
2026-11-04,33994,Daging Ayam
2026-11-05,33992,Daging Ayam
2026-11-06,33977,Daging Ayam
2026-11-09,33939,Daging Ayam
2026-11-10,34020,Daging Ayam
2026-11-11,34051,Daging Ayam
2026-11-12,33997,Daging Ayam
2026-11-13,33915,Daging Ayam
2026-11-16,33868,Daging Ayam
2026-11-17,33904,Daging Ayam
2026-11-18,33932,Daging Ayam
2026-11-19,33945,Daging Ayam
2026-11-20,33927,Daging Ayam
2026-11-23,33867,Daging Ayam
2026-11-24,33807,Daging Ayam
2026-11-25,33776,Daging Ayam
2026-11-26,33763,Daging Ayam
2026-11-27,33852,Daging Ayam
2026-11-30,33894,Daging Ayam
2026-12-01,33906,Daging Ayam
2026-12-02,33909,Daging Ayam
2026-12-03,33981,Daging Ayam
2026-12-04,34029,Daging Ayam
2026-12-07,33994,Daging Ayam
2026-12-08,33989,Daging Ayam
2026-12-09,33981,Daging Ayam
2026-12-10,33982,Daging Ayam
2026-12-11,33967,Daging Ayam
2026-12-14,33804,Daging Ayam
2026-12-15,33823,Daging Ayam
2026-12-16,33863,Daging Ayam
2026-12-17,34021,Daging Ayam
2026-12-18,34020,Daging Ayam
2026-12-21,33975,Daging Ayam
2026-12-22,34041,Daging Ayam
2026-12-23,34017,Daging Ayam
2026-12-24,34065,Daging Ayam
2026-12-25,34023,Daging Ayam
2026-12-28,33819,Daging Ayam
2026-12-29,33853,Daging Ayam
2026-12-30,33995,Daging Ayam
2026-12-31,33995,Daging Ayam
2027-01-01,34066,Daging Ayam
2027-01-04,33973,Daging Ayam
2027-01-05,33973,Daging Ayam
2027-01-06,33999,Daging Ayam
2027-01-07,33986,Daging Ayam
